DepartureTime,ArraivalTime,Price,Operator,NumberOfStops,Duration,Layovers,Source
2023-12-20 03:30:00,2023-12-20 15:20:00,294.0,"['airBaltic', 'Air Serbia']",3,42600,"['1h 50m layover, Riga Intl', '1h 45m layover, Berlin Brandenburg', '2h 10m layover, Belgrade Nikola Tesla']",kayak.com
2023-12-20 03:30:00,2023-12-20 15:20:00,294.0,"['airBaltic', 'Air Serbia']",3,42600,"['1h 00m layover, Riga Intl', '1h 35m layover, Duesseldorf Intl', '2h 20m layover, Belgrade Nikola Tesla']",kayak.com
2023-12-20 05:50:00,2023-12-20 17:00:00,365.0,['Multiple airlines'],2,40200,"['2h 50m layover, Kastrup Copenhagen', '1h 55m layover, Cologne Köln/Bonn']",kayak.com
2023-12-20 07:25:00,2023-12-20 17:05:00,659.0,['Lufthansa'],2,34800,"['2h 15m layover, Stockholm Arlanda', '0h 55m layover, Frankfurt am Main']",kayak.com
2023-12-20 05:20:00,2023-12-20 16:25:00,326.0,"['airBaltic', 'Pegasus Airlines']",2,39900,"['1h 15m layover, Riga Intl', '2h 55m layover, Amsterdam Schiphol']",kayak.com
2023-12-20 05:20:00,2023-12-20 16:30:00,299.0,"['airBaltic', 'LOT']",3,40200,"['1h 05m layover, Riga Intl', '1h 50m layover, Vilnius', '2h 35m layover, Warsaw Frederic Chopin']",kayak.com
2023-12-20 06:30:00,2023-12-20 17:05:00,596.0,['Lufthansa'],2,38100,"['2h 50m layover, Kastrup Copenhagen', '1h 25m layover, Frankfurt am Main']",kayak.com
2023-12-20 06:30:00,2023-12-20 17:05:00,596.0,['Lufthansa'],2,38100,"['2h 25m layover, Kastrup Copenhagen', '1h 45m layover, Frankfurt am Main']",kayak.com
2023-12-20 07:00:00,2023-12-20 21:35:00,272.0,['Lufthansa'],1,52500,"['8h 40m layover, Frankfurt am Main']",kayak.com
2023-12-20 05:20:00,2023-12-20 17:40:00,260.0,"['airBaltic', 'TAROM']",2,44400,"['5h 35m layover, Riga Intl', '2h 00m layover, Bucharest Otopeni Intl']",kayak.com
2023-12-20 01:40:00,2023-12-20 11:35:00,681.0,"['Finnair', 'LOT']",2,35700,"['3h 55m layover, Tallinn Ulemiste', '1h 10m layover, Warsaw Frederic Chopin']",kayak.com
2023-12-20 04:40:00,2023-12-20 17:00:00,347.0,['Multiple airlines'],3,44400,"['2h 05m layover, Stockholm Arlanda', '1h 30m layover, Kastrup Copenhagen', '1h 55m layover, Cologne Köln/Bonn']",kayak.com
2023-12-20 07:00:00,2023-12-20 19:50:00,464.0,['Aegean Airlines'],2,46200,"['2h 30m layover, Frankfurt am Main', '3h 10m layover, Athens Eleftherios V.']",kayak.com
2023-12-20 10:05:00,2023-12-20 18:25:00,918.0,['Scandinavian Airlines'],1,30000,"['3h 20m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 07:00:00,2023-12-20 19:50:00,475.0,['Aegean Airlines'],2,46200,"['3h 40m layover, Frankfurt am Main', '2h 00m layover, Athens Eleftherios V.']",kayak.com
2023-12-20 03:30:00,2023-12-20 15:20:00,419.0,"['airBaltic', 'Air Serbia']",3,42600,"['1h 10m layover, Riga Intl', '2h 10m layover, Vienna Intl', '2h 30m layover, Belgrade Nikola Tesla']",kayak.com
2023-12-20 06:30:00,2023-12-20 15:05:00,918.0,['Scandinavian Airlines'],1,30900,"['3h 35m layover, Kastrup Copenhagen']",kayak.com
2023-12-20 07:00:00,2023-12-20 19:50:00,503.0,['Aegean Airlines'],2,46200,"['2h 20m layover, Munich Franz Josef Strauss', '3h 45m layover, Athens Eleftherios V.']",kayak.com
